ReZ,ImZ
-0.0564369417119972,0.7874209503418979
0.0981566386390867,0.7226681002118097
0.048506429325707714,0.746081926580184
-0.024954815717967014,0.6188010555914311
0.025879974310190176,0.6208722629296329
0.01597268611101814,0.6456765249680954
0.13134363393171475,0.703770687075034
0.046717447855972385,0.5854030549824463
-0.002643815795199296,0.6158605333885652
-0.0007857663401400344,0.7220029864171212
0.064639506963153,0.7053188054525142
-0.03435692647293645,0.7814424220476328
0.003751395141815949,0.7321791806457514
0.08571467908620502,0.6799340248984108
-0.13896206858543453,0.69111054185979
-0.012270097058049823,0.7231725585132696
0.027424221449995335,0.7051187791579427
0.06964782550831028,0.6887618755734554
0.06961229392377642,0.7426622936452788
0.05090375615761272,0.5539712133901916
-0.05846642717798149,0.6726502475221466
-0.08434412823183952,0.7000367341412072
-0.04921936663441922,0.6447129922252749
-0.09061219920816661,0.6644086470959502
-0.03204763983743322,0.6591291467105805
0.11016313552744628,0.7253380972329497
0.15032927292612008,0.6113236164669409
-0.0005512230161019913,0.7251762502801555
0.008094067197560638,0.7409529093994488
-0.01955071433163734,0.6958632496846036
0.038249194312150854,0.7378846835441281
0.028437546218104147,0.8421321472283989
0.059528383842011715,0.7399891309984299
-0.03324906828789287,0.665141562588025
0.09304034982245035,0.7211808690123372
0.02120312494019954,0.7500934432688682
-0.06332781265276052,0.7251267689713268
-0.01512588553503183,0.6456259229532108
-0.02441673197354037,0.6997020797969056
-0.08857929747676864,0.6509157088417191
-0.05320321946150439,0.729364830251632
0.004338948126184194,0.6658471714307221
-0.04006410409494869,0.7644329417065866
-0.035879325198304154,0.6789871717375976
0.08149699634051825,0.7393014121955437
0.0543590218186108,0.7331639345102634
-0.022238061263439773,0.7338403941511374
0.1202362686578281,0.6290869108763388
-0.02725020207558726,0.7432170612178234
0.016124823055309254,0.6728327418589695
0.05245101608837841,0.6806768435882986
-0.054682552304831517,0.7339183745660679
0.08376030905511408,0.6826923843551267
-0.056809287929116103,0.6651389263613205
0.12859721811213284,0.6843842085960504
-0.07955499839105103,0.7478074325341457
-0.04191965512562099,0.6624887188423642
0.039992525752291216,0.7321145102838239
-0.05611174219675469,0.7065652807539861
0.08007176347957823,0.5639241489734589
-0.12701475826026373,0.6340943264888078
0.03319062534339054,0.7085118129333285
0.06061612075015814,0.6481458340206441
